"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AGNCB","American Capital Agency Corp.","25.68","8896838131.44","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agncb",
"AGNCP","American Capital Agency Corp.","26.1185","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agncp",
"MTGE","American Capital Mortgage Investment Corp.","17.18","786804262.66","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtge",
"MTGEP","American Capital Mortgage Investment Corp.","25.25","50500000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtgep",
"ACSF","American Capital Senior Floating, Ltd.","11.05","110501105","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acsf",
"ACAS","American Capital, Ltd.","16.925","3646522019.65","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acas",
"AETI","American Electric Technologies, Inc.","2.3999","19992424.5476","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aeti",
"AMNB","American National Bankshares, Inc.","27.82","239506831.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","121.93","3281650600.74","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anat",
"APEI","American Public Education, Inc.","19.8","318235143.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apei",
"ARII","American Railcar Industries, Inc.","41.46","804293029.38","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arii",
"AMRB","American River Bankshares","10.84","72157478.96","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amrb",
"AMSWA","American Software, Inc.","11.09","322759256.7","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amswa",
"AMSC","American Superconductor Corporation","6.97","98894862.62","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amsc",
"AMWD","American Woodmark Corporation","80.5301","1313119381.4445","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amwd",
"CRMT","America&#39;s Car-Mart, Inc.","36.39","285159208.83","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/crmt",
"ABCB","Ameris Bancorp","34.94","1218466114","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","58.71","1127293058.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","3.32","62737628.32","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","27.175","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","27.67","257632962.71","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atlo",
"AMGN","Amgen Inc.","166.81","124834082729.86","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amgn",
"FOLD","Amicus Therapeutics, Inc.","7.4","1051831937.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fold",
"AMKR","Amkor Technology, Inc.","9.72","2307605546.16","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amkr",
"AMPH","Amphastar Pharmaceuticals, Inc.","18.96","855497155.68","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amph",
"IBUY","Amplify Online Retail ETF","27.63","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ibuy",
"AMSG","Amsurg Corp.","67.055","3675291657.83","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amsg",
"AMSGP","Amsurg Corp.","126.82","218764500","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amsgp",
"ASYS","Amtech Systems, Inc.","4.945","65144712.975","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asys",
"AFSI","AmTrust Financial Services, Inc.","26.84","4580754886.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi",
"AMRS","Amyris, Inc.","0.58","136313163.68","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amrs",
"ADI","Analog Devices, Inc.","64.45","19816711996.65","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adi",
"ALOG","Analogic Corporation","88.6","1098789025.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alog",
"AVXL","Anavex Life Sciences Corp.","3.63","129630429.06","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/avxl",
"ANCB","Anchor Bancorp","25.5","63883084.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ancb",
"ANDA","Andina Acquisition Corp. II","9.89","52515900","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anda",
"ANDAR","Andina Acquisition Corp. II","0.28","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/andar",
"ANDAU","Andina Acquisition Corp. II","10.3","16995010.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corp. II","0.18","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/andaw",
"ANGI","Angie&#39;s List, Inc.","9.9","581927395.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/angi",
"ANGO","AngioDynamics, Inc.","17.53","638484636.94","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ango",
"ANIP","ANI Pharmaceuticals, Inc.","66.38","765053330.42","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anip",
"ANIK","Anika Therapeutics Inc.","47.87","707406727.81","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anik",
"ANSS","ANSYS, Inc.","92.63","8079033537.38","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anss",
"ATRS","Antares Pharma, Inc.","1.68","260497707.12","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atrs",
"ANTH","Anthera Pharmaceuticals, Inc.","3.15","130496158.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anth",
"ABAC","Aoxin Tianli Group, Inc.","1.94","15496720","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abac",
"APIC","Apigee Corporation","17.39","520775756.28","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apic",
"APOG","Apogee Enterprises, Inc.","44.67","1286330408.31","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apog",
"APOL","Apollo Education Group, Inc.","7.94","863715589.94","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apol",
